! #lon(deg), lat(deg), depth(km), dVs(%), dVp(%), drho(%)
116.432 -4.419 5441.000 3.000 0.000 0.000
116.432 -4.419 5451.000 3.000 0.000 0.000
116.432 -4.419 5461.000 3.000 0.000 0.000
116.432 -4.419 5471.000 3.000 0.000 0.000
107.454 -3.860 5371.000 3.000 0.000 0.000
107.454 -3.860 5381.000 3.000 0.000 0.000
107.454 -3.860 5391.000 3.000 0.000 0.000
107.454 -3.860 5401.000 3.000 0.000 0.000
107.454 -3.860 5411.000 3.000 0.000 0.000
107.454 -3.860 5421.000 3.000 0.000 0.000
107.454 -3.860 5431.000 3.000 0.000 0.000
107.454 -3.860 5441.000 3.000 0.000 0.000
107.454 -3.860 5451.000 3.000 0.000 0.000
107.454 -3.860 5461.000 3.000 0.000 0.000
107.454 -3.860 5471.000 3.000 0.000 0.000
108.202 -3.860 5371.000 3.000 0.000 0.000
108.202 -3.860 5381.000 3.000 0.000 0.000
108.202 -3.860 5391.000 3.000 0.000 0.000
108.202 -3.860 5401.000 3.000 0.000 0.000
108.202 -3.860 5411.000 3.000 0.000 0.000
108.202 -3.860 5421.000 3.000 0.000 0.000
108.202 -3.860 5431.000 3.000 0.000 0.000
108.202 -3.860 5441.000 3.000 0.000 0.000
108.202 -3.860 5451.000 3.000 0.000 0.000
108.202 -3.860 5461.000 3.000 0.000 0.000
108.202 -3.860 5471.000 3.000 0.000 0.000
108.950 -3.860 5371.000 3.000 0.000 0.000
108.950 -3.860 5381.000 3.000 0.000 0.000
108.950 -3.860 5391.000 3.000 0.000 0.000
108.950 -3.860 5401.000 3.000 0.000 0.000
108.950 -3.860 5411.000 3.000 0.000 0.000
108.950 -3.860 5421.000 3.000 0.000 0.000
108.950 -3.860 5431.000 3.000 0.000 0.000
108.950 -3.860 5441.000 3.000 0.000 0.000
108.950 -3.860 5451.000 3.000 0.000 0.000
108.950 -3.860 5461.000 3.000 0.000 0.000
108.950 -3.860 5471.000 3.000 0.000 0.000
109.699 -3.860 5371.000 3.000 0.000 0.000
109.699 -3.860 5381.000 3.000 0.000 0.000
109.699 -3.860 5391.000 3.000 0.000 0.000
109.699 -3.860 5401.000 3.000 0.000 0.000
109.699 -3.860 5411.000 3.000 0.000 0.000
109.699 -3.860 5421.000 3.000 0.000 0.000
109.699 -3.860 5431.000 3.000 0.000 0.000
109.699 -3.860 5441.000 3.000 0.000 0.000
109.699 -3.860 5451.000 3.000 0.000 0.000
109.699 -3.860 5461.000 3.000 0.000 0.000
109.699 -3.860 5471.000 3.000 0.000 0.000
110.447 -3.860 5371.000 3.000 0.000 0.000
110.447 -3.860 5381.000 3.000 0.000 0.000
110.447 -3.860 5391.000 3.000 0.000 0.000
110.447 -3.860 5401.000 3.000 0.000 0.000
110.447 -3.860 5411.000 3.000 0.000 0.000
110.447 -3.860 5421.000 3.000 0.000 0.000
110.447 -3.860 5431.000 3.000 0.000 0.000
110.447 -3.860 5441.000 3.000 0.000 0.000
110.447 -3.860 5451.000 3.000 0.000 0.000
110.447 -3.860 5461.000 3.000 0.000 0.000
110.447 -3.860 5471.000 3.000 0.000 0.000
111.195 -3.860 5371.000 3.000 0.000 0.000
111.195 -3.860 5381.000 3.000 0.000 0.000
111.195 -3.860 5391.000 3.000 0.000 0.000
111.195 -3.860 5401.000 3.000 0.000 0.000
111.195 -3.860 5411.000 3.000 0.000 0.000
111.195 -3.860 5421.000 3.000 0.000 0.000
111.195 -3.860 5431.000 3.000 0.000 0.000
111.195 -3.860 5441.000 3.000 0.000 0.000
111.195 -3.860 5451.000 3.000 0.000 0.000
111.195 -3.860 5461.000 3.000 0.000 0.000
111.195 -3.860 5471.000 3.000 0.000 0.000
111.943 -3.860 5371.000 3.000 0.000 0.000
111.943 -3.860 5381.000 3.000 0.000 0.000
